city,country,host,id,price,review,stars,timestamp,titre
"al hamra, beirut",lebanon,besthoteloffers.net,1043729,3313.0,8.3,4,2018-06-24 12:51:48.017913,casa d'or hotel
"aqaba, jordan",jordan,besthoteloffers.net,2193423,1399.0,,3,2018-06-24 12:51:48.017913,summer bay resort aqaba
"ouzai, lebanon",lebanon,besthoteloffers.net,1196887,4483.0,8.1,4,2018-06-24 12:51:48.017913,warwick palm beach hotel beirut
"bsharri, lebanon",lebanon,besthoteloffers.net,1602788,6461.0,8.6,4,2018-06-24 12:51:48.017913,le cedrus suites hotel
"amman, jordan",jordan,besthoteloffers.net,1978793,1892.0,8.0,3,2018-06-24 12:51:48.017913,diamond hotel suites
"maghdouche, lebanon",lebanon,besthoteloffers.net,1805230,4214.0,,2,2018-06-24 12:51:48.017913,reef zefta hotel
"amman, jordan",jordan,besthoteloffers.net,1651022,1866.0,4.2,4,2018-06-24 12:51:48.017913,arabela hotel
"sodeco, beirut",lebanon,besthoteloffers.net,1719108,3157.0,9.1,4,2018-06-24 12:51:48.017913,the living by beirut homes
"sweimeh, jordan",jordan,besthoteloffers.net,2968368,3787.0,,4,2018-06-24 12:51:48.017913,grand east hotel resort & spa
"jounieh, lebanon",lebanon,besthoteloffers.net,2412033,2061.0,8.1,4,2018-06-24 12:51:48.017913,al murjan palace hotel
"verdun, beirut",lebanon,besthoteloffers.net,1887537,3820.0,,4,2018-06-24 12:51:48.017913,lahoya verdun
"aqaba, jordan",jordan,besthoteloffers.net,1880048,1632.0,7.8,2,2018-06-24 12:51:48.017913,jardaneh hotel
"zouk mosbeh, lebanon",lebanon,besthoteloffers.net,3542125,1580.0,,3,2018-06-24 12:51:48.017913,nj hotel zouk mosbeh
"amman, jordan",jordan,besthoteloffers.net,1464771,3226.0,6.0,4,2018-06-24 12:51:48.017913,amman cham palace
"jounieh, lebanon",lebanon,besthoteloffers.net,1597515,3157.0,8.2,4,2018-06-24 12:51:48.017913,hollywood inn hotel
"amman, jordan",jordan,besthoteloffers.net,3122233,2360.0,,4,2018-06-24 12:51:48.017913,tilal almadina hotel apartments
"jounieh, lebanon",lebanon,besthoteloffers.net,1719456,4288.0,6.8,4,2018-06-24 12:51:48.017913,lamedina hotel
"amman, jordan",jordan,besthoteloffers.net,1743297,1720.0,6.0,3,2018-06-24 12:51:48.017913,rama hotel amman
"jbeil byblos, lebanon",lebanon,besthoteloffers.net,1497047,2923.0,7.8,3,2018-06-24 12:51:48.017913,victory byblos hotel & spa
"amman, jordan",jordan,besthoteloffers.net,1650749,2151.0,6.0,4,2018-06-24 12:51:48.017913,amerie suites hotel amman
"harissa, lebanon",lebanon,besthoteloffers.net,1720139,7796.0,8.6,5,2018-06-24 12:51:48.017913,bay lodge boutique hotel
"ain el mreisse, beirut",lebanon,besthoteloffers.net,1532959,6431.0,,5,2018-06-24 12:51:48.017913,lahoya homes hotel beirut
"jounieh, lebanon",lebanon,besthoteloffers.net,1869810,13506.0,8.0,5,2018-06-24 12:51:48.017913,veer boutique hotel & resort
"amman, jordan",jordan,besthoteloffers.net,2677895,947.0,,2,2018-06-24 12:51:48.017913,golden key hotel amman
"beirut, lebanon",lebanon,besthoteloffers.net,1772654,1949.0,7.1,3,2018-06-24 12:51:48.017913,orient prince hotel
"amman, jordan",jordan,besthoteloffers.net,1529572,1639.0,6.9,4,2018-06-24 12:51:48.017913,belle vue hotel amman
"tripoli, lebanon",lebanon,besthoteloffers.net,2677055,7796.0,,5,2018-06-24 12:51:48.017913,miramar hotel resort and spa
"amman, jordan",jordan,besthoteloffers.net,1519350,2744.0,7.7,3,2018-06-24 12:51:48.017913,hisham hotel amman
"ain el mreisse, beirut",lebanon,besthoteloffers.net,1532958,23387.0,,5,2018-06-24 12:51:48.017913,lahoya suites beirut
"amman, jordan",jordan,besthoteloffers.net,1734032,2169.0,6.7,3,2018-06-24 12:51:48.017913,kindi hotel and suites
"jounieh, lebanon",lebanon,besthoteloffers.net,1535524,5067.0,6.8,5,2018-06-24 12:51:48.017913,portemilio hotel and resort
"aqaba, jordan",jordan,besthoteloffers.net,1657991,1646.0,5.0,2,2018-06-24 12:51:48.017913,dweik 2
